startDate | keywords | status | imageUrl | expiryDate | useDates | type | url | keywordsFieldType | expiryCount | title | priority | description | keywordsUrl
<nil> | award distinguished fleming j. michael service | active | <nil> | <nil> | false | TEXT | https://www.elfaonline.org/About/Awards/DSA/ | STRING | -1 | ELFA - AWARDS | A | This award pays tribute to significant contributions to ELFA and the equipment finance industry. | <nil>
<nil> | award excellence operations technology | active | <nil> | <nil> | false | TEXT | https://www.elfaonline.org/About/Awards/OTE/ | STRING | -1 | ELFA - OPERATIONS AND TECHNOLOGY AWARD | A | This award recognizes innovative uses of technology in the equipment finance industry. | <nil>
<nil> | advocacy awar award david distinguished fenig h. service | active | <nil> | <nil> | false | TEXT | https://www.elfaonline.org/About/Awards/?fa=DSAA | STRING | -1 | ELFA - DAVID H. FENIG DISTINGUISHED SERVICE IN ADVOCACY AWARD | A | This award recognizes extraordinary contributions to ELFA's federal and state advocacy programs. | <nil>
<nil> | a. awar award edward excellence groobert leasing legal | active | <nil> | <nil> | false | TEXT | https://www.elfaonline.org/About/Awards/?fa=ELA | STRING | -1 | ELFA - EDWARD A. GROOBERT EXCELLENCE IN LEASING AWARD | A | This award honors extraordinary contributions to initiatives sponsored by ELFA and its Legal Committee. | <nil>
<nil> | amy andy benson bill bios choi fishburn julie kelli lisa nienaber paul petta ralph ramirez richard shanahan staff stilp vogt | active | <nil> | <nil> | false | TEXT | https://www.elfaonline.org/about/?fa=execstaff | STRING | -1 | ELFA - EXECUTIVE STAFF | A | Bios of ELFA's executive staff. | <nil>
<nil> | advertise advertising guid guide integrated marketing | active | <nil> | <nil> | false | TEXT | http://www.elfaonline.org/About/?fa=Advertise | STRING | -1 | ELFA - ADVERTISE | A | Reach decision makers in the equipment finance industry. | <nil>
<nil> | news press releas | active | <nil> | <nil> | false | TEXT | http://www.elfaonline.org/News/IndNews/ | STRING | -1 | ELFA - INDUSTRY NEWS | A | Get the latest news from around the equipment leasing and finance industry. | <nil>
<nil> | elfa press release | active | <nil> | <nil> | false | TEXT | http://www.elfaonline.org/News/Press/pressreleases.cfm | STRING | -1 | ELFA - PRESS | A | Access press releases from ELFA. | <nil>
<nil> | fact industry media press room | active | <nil> | <nil> | false | TEXT | http://www.elfaonline.org/News/Press/ | STRING | -1 | ELFA - PRESS | A | Access the latest ELFA press releases and get added to the ELFA press list. | <nil>
<nil> | add item news press releas release submit | active | <nil> | <nil> | false | TEXT | http://www.elfaonline.org/News/Add/ | STRING | -1 | ELFA - ADD | A | Submit your news item to the ELFA website. | <nil>
<nil> | coverage media new press | active | <nil> | <nil> | false | TEXT | http://www.elfaonline.org/News/Press/?fa=MediaCoverage | STRING | -1 | ELFA - MEDIA COVERAGE | A | Examples of ELFA in the news. | <nil>
<nil> | e-newsletter e-newsletters elfa newsletter newsletters quickbrie quickbrief | active | <nil> | <nil> | false | TEXT | http://www.elfaonline.org/News/?fa=Newsletters | STRING | -1 | ELFA - NEWSLETTERS | A | ELFA offers several email newsletters on industry topics. | <nil>
<nil> | e-newsletter equipment finance leasing newslette | active | <nil> | <nil> | false | TEXT | http://www.elfaonline.org/resources/mag/?fa=NL | STRING | -1 | ELFA - EQUIPMENT | A | This information-packed e-newsletter highlights the content in each issue of Equipment Leasing & Finance magazine. | <nil>
<nil> | el& elt equipment finance leasing magazine | active | <nil> | <nil> | false | TEXT | http://www.elfaonline.org/resources/mag/ | STRING | -1 | ELFA - MAG | A | Equipment Leasing & Finance magazine is ELFA's flagship publication covering of the people,trends and issues that have an impact on the equipment finance industry.  | <nil>
